$p_{\max}$,"$u_{S,\max}$",value,fp_num,name,stability
0.15142857142857144,0.020714285714285716,0.150000000000000,0,C,False
0.15142857142857144,0.020714285714285716,17.1428571428571,1,H,True
0.15142857142857144,0.020714285714285716,39.1071428571429,1,S,True
0.15142857142857144,0.020714285714285716,0.0180899999999999,1,N,True
0.15142857142857144,0.020714285714285716,0.0131250000000000,1,C,True
0.15142857142857144,0.020714285714285716,,2,H,False
0.15142857142857144,0.020714285714285716,,2,S,False
0.15142857142857144,0.020714285714285716,,2,N,False
0.15142857142857144,0.020714285714285716,,2,C,False
0.15142857142857144,0.020714285714285716,,3,H,False
0.15142857142857144,0.020714285714285716,,3,S,False
0.15142857142857144,0.020714285714285716,,3,N,False
0.15142857142857144,0.020714285714285716,,3,C,False
