$\epsilon$,$N_I$,value,fp_num,name,stability
1.0714285714285714,0.000125,0.0187678571428571,1,N,True
1.0714285714285714,0.000125,0.00283849918433932,1,C,True
1.0714285714285714,0.000125,105.129870129870,2,H,False
1.0714285714285714,0.000125,61.4763872249519,2,S,False
1.0714285714285714,0.000125,0.00272727272727273,2,N,False
1.0714285714285714,0.000125,0.00886658967333688,2,C,False
1.0714285714285714,0.000125,105.129870129870,3,H,True
1.0714285714285714,0.000125,23.0358517568585,3,S,True
1.0714285714285714,0.000125,0.00272727272727273,3,N,True
1.0714285714285714,0.000125,0.0315890062533032,3,C,True
1.0714285714285714,0.00025,13.4693877551021,0,H,False
1.0714285714285714,0.00025,0.0,0,S,False
1.0714285714285714,0.00025,0.0188928571428571,0,N,False
1.0714285714285714,0.00025,0.152142857142857,0,C,False
1.0714285714285714,0.00025,13.4693877551021,1,H,True
