$\epsilon$,$C_I$,value,fp_num,name,stability
1.0357142857142858,0.12142857142857143,0.00272727272727273,3,N,True
1.0357142857142858,0.12142857142857143,0.0681286471873037,3,C,True
1.0357142857142858,0.12714285714285714,15.3061224489796,0,H,False
1.0357142857142858,0.12714285714285714,0.0,0,S,False
1.0357142857142858,0.12714285714285714,0.0184114285714286,0,N,False
1.0357142857142858,0.12714285714285714,0.188214285714286,0,C,False
1.0357142857142858,0.12714285714285714,15.3061224489796,1,H,True
1.0357142857142858,0.12714285714285714,46.4740690503430,1,S,True
1.0357142857142858,0.12714285714285714,0.0184114285714286,1,N,True
1.0357142857142858,0.12714285714285714,0.00278275020341741,1,C,True
1.0357142857142858,0.12714285714285714,104.929870129870,2,H,False
1.0357142857142858,0.12714285714285714,134.952439037670,2,S,False
1.0357142857142858,0.12714285714285714,0.00272727272727273,2,N,False
1.0357142857142858,0.12714285714285714,0.00510804097887159,2,C,False
1.0357142857142858,0.12714285714285714,104.929870129870,3,H,True
1.0357142857142858,0.12714285714285714,16.4933321997630,3,S,True
1.0357142857142858,0.12714285714285714,0.00272727272727273,3,N,True
1.0357142857142858,0.12714285714285714,0.0740537746668334,3,C,True
1.0357142857142858,0.13285714285714284,15.3061224489796,0,H,False
1.0357142857142858,0.13285714285714284,0.0,0,S,False
1.0357142857142858,0.13285714285714284,0.0184114285714286,0,N,False
1.0357142857142858,0.13285714285714284,0.193928571428571,0,C,False
1.0357142857142858,0.13285714285714284,15.3061224489796,1,H,True
1.0357142857142858,0.13285714285714284,47.9062208584346,1,S,True
1.0357142857142858,0.13285714285714284,0.0184114285714286,1,N,True
1.0357142857142858,0.13285714285714284,0.00278275020341741,1,C,True
1.0357142857142858,0.13285714285714284,104.929870129870,2,H,False
1.0357142857142858,0.13285714285714284,145.075495308130,2,S,False
1.0357142857142858,0.13285714285714284,0.00272727272727273,2,N,False
1.0357142857142858,0.13285714285714284,0.00493049143994705,2,C,False
1.0357142857142858,0.13285714285714284,104.929870129870,3,H,True
1.0357142857142858,0.13285714285714284,16.1882754736184,3,S,True
1.0357142857142858,0.13285714285714284,0.00272727272727273,3,N,True
1.0357142857142858,0.13285714285714284,0.0799456099200437,3,C,True
1.0357142857142858,0.13857142857142857,15.3061224489796,0,H,False
1.0357142857142858,0.13857142857142857,0.0,0,S,False
1.0357142857142858,0.13857142857142857,0.0184114285714286,0,N,False
1.0357142857142858,0.13857142857142857,0.199642857142857,0,C,False
1.0357142857142858,0.13857142857142857,15.3061224489796,1,H,True
1.0357142857142858,0.13857142857142857,49.3383726665263,1,S,True
1.0357142857142858,0.13857142857142857,0.0184114285714286,1,N,True
1.0357142857142858,0.13857142857142857,0.00278275020341741,1,C,True
1.0357142857142858,0.13857142857142857,104.929870129870,2,H,False
1.0357142857142858,0.13857142857142857,155.154204848651,2,S,False
1.0357142857142858,0.13857142857142857,0.00272727272727273,2,N,False
1.0357142857142858,0.13857142857142857,0.00477875264629895,2,C,False
1.0357142857142858,0.13857142857142857,104.929870129870,3,H,True
1.0357142857142858,0.13857142857142857,15.9275654774123,3,S,True
1.0357142857142858,0.13857142857142857,0.00272727272727273,3,N,True
1.0357142857142858,0.13857142857142857,0.0858116344279776,3,C,True
1.0357142857142858,0.1442857142857143,15.3061224489796,0,H,False
1.0357142857142858,0.1442857142857143,0.0,0,S,False
1.0357142857142858,0.1442857142857143,0.0184114285714286,0,N,False
1.0357142857142858,0.1442857142857143,0.205357142857143,0,C,False
1.0357142857142858,0.1442857142857143,15.3061224489796,1,H,True
1.0357142857142858,0.1442857142857143,50.7705244746180,1,S,True
1.0357142857142858,0.1442857142857143,0.0184114285714286,1,N,True
1.0357142857142858,0.1442857142857143,0.00278275020341741,1,C,True
1.0357142857142858,0.1442857142857143,104.929870129870,2,H,False
1.0357142857142858,0.1442857142857143,165.197769545145,2,S,False
1.0357142857142858,0.1442857142857143,0.00272727272727273,2,N,False
