$\epsilon$,"$u_{S,\max}$",value,fp_num,name,stability
1.0357142857142858,0.06014285714285715,0.00161745827984596,2,N,False
1.0357142857142858,0.06014285714285715,0.0119361114538916,2,C,False
1.0357142857142858,0.06014285714285715,111.271666972309,3,H,True
1.0357142857142858,0.06014285714285715,30.8686753421461,3,S,True
1.0357142857142858,0.06014285714285715,0.00161745827984596,3,N,True
1.0357142857142858,0.06014285714285715,0.0221693613362223,3,C,True
1.0357142857142858,0.06507142857142857,15.3061224489796,0,H,False
1.0357142857142858,0.06507142857142857,0.0,0,S,False
1.0357142857142858,0.06507142857142857,0.0184114285714286,0,N,False
1.0357142857142858,0.06507142857142857,0.151071428571428,0,C,False
1.0357142857142858,0.06507142857142857,15.3061224489796,1,H,True
1.0357142857142858,0.06507142857142857,37.1650822977472,1,S,True
1.0357142857142858,0.06507142857142857,0.0184114285714286,1,N,True
1.0357142857142858,0.06507142857142857,0.00278275020341741,1,C,True
1.0357142857142858,0.06507142857142857,112.023719676550,2,H,False
1.0357142857142858,0.06507142857142857,45.9662927920750,2,S,False
1.0357142857142858,0.06507142857142857,0.00148584905660377,2,N,False
1.0357142857142858,0.06507142857142857,0.0131750106423228,2,C,False
1.0357142857142858,0.06507142857142857,112.023719676550,3,H,True
1.0357142857142858,0.06507142857142857,33.4617932876082,3,S,True
1.0357142857142858,0.06507142857142857,0.00148584905660377,3,N,True
1.0357142857142858,0.06507142857142857,0.0199920280607184,3,C,True
1.0357142857142858,0.07,15.3061224489796,0,H,False
1.0357142857142858,0.07,0.0,0,S,False
1.0357142857142858,0.07,0.0184114285714286,0,N,False
1.0357142857142858,0.07,0.151071428571428,0,C,False
1.0357142857142858,0.07,15.3061224489796,1,H,True
1.0357142857142858,0.07,37.1650822977472,1,S,True
1.0357142857142858,0.07,0.0184114285714286,1,N,True
1.0357142857142858,0.07,0.00278275020341741,1,C,True
1.0357142857142858,0.07,,2,H,False
1.0357142857142858,0.07,,2,S,False
1.0357142857142858,0.07,,2,N,False
1.0357142857142858,0.07,,2,C,False
1.0357142857142858,0.07,,3,H,False
1.0357142857142858,0.07,,3,S,False
1.0357142857142858,0.07,,3,N,False
1.0357142857142858,0.07,,3,C,False
1.0714285714285714,0.001,13.4693877551021,0,H,True
1.0714285714285714,0.001,0.0,0,S,True
1.0714285714285714,0.001,0.0187328571428571,0,N,True
1.0714285714285714,0.001,0.152142857142857,0,C,True
1.0714285714285714,0.001,,1,H,False
1.0714285714285714,0.001,,1,S,False
1.0714285714285714,0.001,,1,N,False
1.0714285714285714,0.001,,1,C,False
1.0714285714285714,0.001,,2,H,False
1.0714285714285714,0.001,,2,S,False
1.0714285714285714,0.001,,2,N,False
1.0714285714285714,0.001,,2,C,False
1.0714285714285714,0.001,,3,H,False
1.0714285714285714,0.001,,3,S,False
1.0714285714285714,0.001,,3,N,False
1.0714285714285714,0.001,,3,C,False
1.0714285714285714,0.005928571428571429,13.4693877551021,0,H,True
