$\epsilon$,$p_{\max}$,value,fp_num,name,stability
1.0357142857142858,0.21507142857142858,15.3061224489796,0,H,False
1.0357142857142858,0.21507142857142858,0.0,0,S,False
1.0357142857142858,0.21507142857142858,0.0184114285714286,0,N,False
1.0357142857142858,0.21507142857142858,0.151071428571428,0,C,False
1.0357142857142858,0.21507142857142858,15.3061224489796,1,H,True
1.0357142857142858,0.21507142857142858,35.8747053161662,1,S,True
1.0357142857142858,0.21507142857142858,0.0184114285714287,1,N,True
1.0357142857142858,0.21507142857142858,0.00793135435992574,1,C,True
1.0357142857142858,0.21507142857142858,,2,H,False
1.0357142857142858,0.21507142857142858,,2,S,False
1.0357142857142858,0.21507142857142858,,2,N,False
1.0357142857142858,0.21507142857142858,,2,C,False
1.0357142857142858,0.21507142857142858,,3,H,False
1.0357142857142858,0.21507142857142858,,3,S,False
1.0357142857142858,0.21507142857142858,,3,N,False
1.0357142857142858,0.21507142857142858,,3,C,False
1.0357142857142858,0.2864285714285714,15.3061224489796,0,H,False
1.0357142857142858,0.2864285714285714,0.0,0,S,False
1.0357142857142858,0.2864285714285714,0.0184114285714286,0,N,False
1.0357142857142858,0.2864285714285714,0.151071428571428,0,C,False
1.0357142857142858,0.2864285714285714,15.3061224489796,1,H,True
1.0357142857142858,0.2864285714285714,36.5041253802382,1,S,True
1.0357142857142858,0.2864285714285714,0.0184114285714286,1,N,True
1.0357142857142858,0.2864285714285714,0.00541996830427892,1,C,True
1.0357142857142858,0.2864285714285714,,2,H,False
1.0357142857142858,0.2864285714285714,,2,S,False
1.0357142857142858,0.2864285714285714,,2,N,False
1.0357142857142858,0.2864285714285714,,2,C,False
1.0357142857142858,0.2864285714285714,,3,H,False
1.0357142857142858,0.2864285714285714,,3,S,False
1.0357142857142858,0.2864285714285714,,3,N,False
1.0357142857142858,0.2864285714285714,,3,C,False
1.0357142857142858,0.35778571428571426,15.3061224489796,0,H,False
1.0357142857142858,0.35778571428571426,0.0,0,S,False
1.0357142857142858,0.35778571428571426,0.0184114285714286,0,N,False
1.0357142857142858,0.35778571428571426,0.151071428571428,0,C,False
1.0357142857142858,0.35778571428571426,15.3061224489796,1,H,True
1.0357142857142858,0.35778571428571426,36.8308056060779,1,S,True
1.0357142857142858,0.35778571428571426,0.0184114285714286,1,N,True
1.0357142857142858,0.35778571428571426,0.00411651420317767,1,C,True
1.0357142857142858,0.35778571428571426,,2,H,False
1.0357142857142858,0.35778571428571426,,2,S,False
1.0357142857142858,0.35778571428571426,,2,N,False
1.0357142857142858,0.35778571428571426,,2,C,False
1.0357142857142858,0.35778571428571426,,3,H,False
1.0357142857142858,0.35778571428571426,,3,S,False
1.0357142857142858,0.35778571428571426,,3,N,False
1.0357142857142858,0.35778571428571426,,3,C,False
1.0357142857142858,0.42914285714285716,15.3061224489796,0,H,False
1.0357142857142858,0.42914285714285716,0.0,0,S,False
1.0357142857142858,0.42914285714285716,0.0184114285714286,0,N,False
1.0357142857142858,0.42914285714285716,0.151071428571428,0,C,False
1.0357142857142858,0.42914285714285716,15.3061224489796,1,H,True
1.0357142857142858,0.42914285714285716,37.0308203766050,1,S,True
1.0357142857142858,0.42914285714285716,0.0184114285714286,1,N,True
1.0357142857142858,0.42914285714285716,0.00331845526877546,1,C,True
1.0357142857142858,0.42914285714285716,104.929870129870,2,H,False
1.0357142857142858,0.42914285714285716,61.3552237224658,2,S,False
1.0357142857142858,0.42914285714285716,0.00272727272727273,2,N,False
1.0357142857142858,0.42914285714285716,0.0108003371876343,2,C,False
1.0357142857142858,0.42914285714285716,104.929870129870,3,H,True
1.0357142857142858,0.42914285714285716,27.7591348711074,3,S,True
1.0357142857142858,0.42914285714285716,0.00272727272727273,3,N,True
1.0357142857142858,0.42914285714285716,0.0303539794253084,3,C,True
1.0357142857142858,0.5005,15.3061224489796,0,H,False
1.0357142857142858,0.5005,0.0,0,S,False
1.0357142857142858,0.5005,0.0184114285714286,0,N,False
1.0357142857142858,0.5005,0.151071428571428,0,C,False
1.0357142857142858,0.5005,15.3061224489796,1,H,True
1.0357142857142858,0.5005,37.1658758637258,1,S,True
1.0357142857142858,0.5005,0.0184114285714285,1,N,True
1.0357142857142858,0.5005,0.00277958387516255,1,C,True
1.0357142857142858,0.5005,104.929870129870,2,H,False
1.0357142857142858,0.5005,66.0072687040092,2,S,False
1.0357142857142858,0.5005,0.00272727272727273,2,N,False
1.0357142857142858,0.5005,0.00809274751417127,2,C,False
1.0357142857142858,0.5005,104.929870129870,3,H,True
1.0357142857142858,0.5005,21.6127248282739,3,S,True
1.0357142857142858,0.5005,0.00272727272727273,3,N,True
1.0357142857142858,0.5005,0.0339313215247220,3,C,True
1.0357142857142858,0.5718571428571428,15.3061224489796,0,H,False
1.0357142857142858,0.5718571428571428,0.0,0,S,False
1.0357142857142858,0.5718571428571428,0.0184114285714286,0,N,False
1.0357142857142858,0.5718571428571428,0.151071428571428,0,C,False
1.0357142857142858,0.5718571428571428,15.3061224489796,1,H,True
1.0357142857142858,0.5718571428571428,37.2631966475511,1,S,True
1.0357142857142858,0.5718571428571428,0.0184114285714285,1,N,True
1.0357142857142858,0.5718571428571428,0.00239127394769963,1,C,True
1.0357142857142858,0.5718571428571428,104.929870129870,2,H,False
1.0357142857142858,0.5718571428571428,68.6709716174669,2,S,False
1.0357142857142858,0.5718571428571428,0.00272727272727273,2,N,False
1.0357142857142858,0.5718571428571428,0.00654241544939899,2,C,False
1.0357142857142858,0.5718571428571428,104.929870129870,3,H,True
1.0357142857142858,0.5718571428571428,17.8721846667639,3,S,True
1.0357142857142858,0.5718571428571428,0.00272727272727273,3,N,True
1.0357142857142858,0.5718571428571428,0.0361083958983916,3,C,True
1.0357142857142858,0.6432142857142857,15.3061224489796,0,H,False
1.0357142857142858,0.6432142857142857,0.0,0,S,False
1.0357142857142858,0.6432142857142857,0.0184114285714286,0,N,False
1.0357142857142858,0.6432142857142857,0.151071428571428,0,C,False
1.0357142857142858,0.6432142857142857,15.3061224489796,1,H,True
1.0357142857142858,0.6432142857142857,37.3366589128386,1,S,True
1.0357142857142858,0.6432142857142857,0.0184114285714286,1,N,True
1.0357142857142858,0.6432142857142857,0.00209815950920245,1,C,True
1.0357142857142858,0.6432142857142857,104.929870129870,2,H,False
1.0357142857142858,0.6432142857142857,70.4433997321523,2,S,False
1.0357142857142858,0.6432142857142857,0.00272727272727273,2,N,False
1.0357142857142858,0.6432142857142857,0.00551082437938222,2,C,False
1.0357142857142858,0.6432142857142857,104.929870129870,3,H,True
1.0357142857142858,0.6432142857142857,15.2869095888862,3,S,True
1.0357142857142858,0.6432142857142857,0.00272727272727273,3,N,True
1.0357142857142858,0.6432142857142857,0.0376130812855050,3,C,True
1.0357142857142858,0.7145714285714285,15.3061224489796,0,H,False
1.0357142857142858,0.7145714285714285,0.0,0,S,False
1.0357142857142858,0.7145714285714285,0.0184114285714286,0,N,False
1.0357142857142858,0.7145714285714285,0.151071428571428,0,C,False
1.0357142857142858,0.7145714285714285,15.3061224489796,1,H,True
1.0357142857142858,0.7145714285714285,37.3940781563702,1,S,True
1.0357142857142858,0.7145714285714285,0.0184114285714285,1,N,True
1.0357142857142858,0.7145714285714285,0.00186905672751120,1,C,True
1.0357142857142858,0.7145714285714285,104.929870129870,2,H,False
1.0357142857142858,0.7145714285714285,71.7195946182485,2,S,False
1.0357142857142858,0.7145714285714285,0.00272727272727273,2,N,False
1.0357142857142858,0.7145714285714285,0.00476805166144232,2,C,False
1.0357142857142858,0.7145714285714285,104.929870129870,3,H,True
1.0357142857142858,0.7145714285714285,13.3753809358440,3,S,True
1.0357142857142858,0.7145714285714285,0.00272727272727273,3,N,True
1.0357142857142858,0.7145714285714285,0.0387256318438162,3,C,True
1.0357142857142858,0.7859285714285714,15.3061224489796,0,H,False
1.0357142857142858,0.7859285714285714,0.0,0,S,False
1.0357142857142858,0.7859285714285714,0.0184114285714286,0,N,False
