$\epsilon$,$f_{\max}$,value,fp_num,name,stability
1.0357142857142858,0.029285714285714286,,0,C,False
1.0357142857142858,0.029285714285714286,,1,H,False
1.0357142857142858,0.029285714285714286,,1,S,False
1.0357142857142858,0.029285714285714286,,1,N,False
1.0357142857142858,0.029285714285714286,,1,C,False
1.0357142857142858,0.029285714285714286,83.9787139689577,2,H,False
1.0357142857142858,0.029285714285714286,52.8088557662387,2,S,False
1.0357142857142858,0.029285714285714286,0.00272727272727273,2,N,False
1.0357142857142858,0.029285714285714286,0.00810646425307980,2,C,False
1.0357142857142858,0.029285714285714286,83.9787139689577,3,H,True
1.0357142857142858,0.029285714285714286,17.3232406028152,3,S,True
1.0357142857142858,0.029285714285714286,0.00272727272727273,3,N,True
1.0357142857142858,0.029285714285714286,0.0339124942497680,3,C,True
1.0357142857142858,0.03635714285714286,,0,H,False
1.0357142857142858,0.03635714285714286,,0,S,False
1.0357142857142858,0.03635714285714286,,0,N,False
1.0357142857142858,0.03635714285714286,,0,C,False
1.0357142857142858,0.03635714285714286,,1,H,False
1.0357142857142858,0.03635714285714286,,1,S,False
1.0357142857142858,0.03635714285714286,,1,N,False
1.0357142857142858,0.03635714285714286,,1,C,False
1.0357142857142858,0.03635714285714286,90.9848187176280,2,H,False
1.0357142857142858,0.03635714285714286,57.2145480859909,2,S,False
1.0357142857142858,0.03635714285714286,0.00272727272727273,2,N,False
1.0357142857142858,0.03635714285714286,0.00810646425307976,2,C,False
1.0357142857142858,0.03635714285714286,90.9848187176280,3,H,True
1.0357142857142858,0.03635714285714286,18.7684691912715,3,S,True
1.0357142857142858,0.03635714285714286,0.00272727272727273,3,N,True
1.0357142857142858,0.03635714285714286,0.0339124942497681,3,C,True
1.0357142857142858,0.04342857142857143,,0,H,False
1.0357142857142858,0.04342857142857143,,0,S,False
1.0357142857142858,0.04342857142857143,,0,N,False
1.0357142857142858,0.04342857142857143,,0,C,False
1.0357142857142858,0.04342857142857143,,1,H,False
1.0357142857142858,0.04342857142857143,,1,S,False
1.0357142857142858,0.04342857142857143,,1,N,False
1.0357142857142858,0.04342857142857143,,1,C,False
1.0357142857142858,0.04342857142857143,95.7093301435406,2,H,False
1.0357142857142858,0.04342857142857143,60.1854919200341,2,S,False
1.0357142857142858,0.04342857142857143,0.00272727272727273,2,N,False
1.0357142857142858,0.04342857142857143,0.00810646425307978,2,C,False
1.0357142857142858,0.04342857142857143,95.7093301435406,3,H,True
1.0357142857142858,0.04342857142857143,19.7430476801978,3,S,True
1.0357142857142858,0.04342857142857143,0.00272727272727273,3,N,True
1.0357142857142858,0.04342857142857143,0.0339124942497680,3,C,True
1.0357142857142858,0.0505,,0,H,False
1.0357142857142858,0.0505,,0,S,False
1.0357142857142858,0.0505,,0,N,False
1.0357142857142858,0.0505,,0,C,False
