para_name,para_value,fp_num,stable,var_name,var_value
"u_{H,\max}",0.0058620689655172415,2,False,S,70.0509435356206
"u_{H,\max}",0.0058620689655172415,3,True,S,20.6042728430420
"u_{H,\max}",0.0062068965517241385,0,False,S,0.0
"u_{H,\max}",0.0062068965517241385,1,True,S,42.0779220779221
"u_{H,\max}",0.0062068965517241385,2,False,S,70.0509435356206
"u_{H,\max}",0.0062068965517241385,3,True,S,20.6042728430420
"u_{H,\max}",0.006551724137931035,0,False,S,0.0
"u_{H,\max}",0.006551724137931035,1,True,S,42.0779220779221
"u_{H,\max}",0.006551724137931035,2,False,S,70.0509435356206
"u_{H,\max}",0.006551724137931035,3,True,S,20.6042728430420
"u_{H,\max}",0.006896551724137932,0,False,S,0.0
"u_{H,\max}",0.006896551724137932,1,True,S,42.0779220779221
"u_{H,\max}",0.006896551724137932,2,False,S,70.0509435356206
"u_{H,\max}",0.006896551724137932,3,True,S,20.6042728430420
"u_{H,\max}",0.007241379310344828,0,False,S,0.0
"u_{H,\max}",0.007241379310344828,1,True,S,42.0779220779221
"u_{H,\max}",0.007241379310344828,2,False,S,70.0509435356206
"u_{H,\max}",0.007241379310344828,3,True,S,20.6042728430420
"u_{H,\max}",0.007586206896551725,0,False,S,0.0
"u_{H,\max}",0.007586206896551725,1,True,S,42.0779220779221
"u_{H,\max}",0.007586206896551725,2,False,S,70.0509435356206
"u_{H,\max}",0.007586206896551725,3,True,S,20.6042728430420
"u_{H,\max}",0.007931034482758621,0,False,S,0.0
"u_{H,\max}",0.007931034482758621,1,True,S,42.0779220779221
"u_{H,\max}",0.007931034482758621,2,False,S,70.0509435356206
"u_{H,\max}",0.007931034482758621,3,True,S,20.6042728430420
"u_{H,\max}",0.008275862068965517,0,False,S,0.0
"u_{H,\max}",0.008275862068965517,1,True,S,42.0779220779221
"u_{H,\max}",0.008275862068965517,2,False,S,70.0509435356206
"u_{H,\max}",0.008275862068965517,3,True,S,20.6042728430420
"u_{H,\max}",0.008620689655172414,0,False,S,0.0
"u_{H,\max}",0.008620689655172414,1,True,S,42.0779220779221
"u_{H,\max}",0.008620689655172414,2,False,S,70.0509435356206
"u_{H,\max}",0.008620689655172414,3,True,S,20.6042728430420
"u_{H,\max}",0.008965517241379312,0,False,S,0.0
"u_{H,\max}",0.008965517241379312,1,True,S,42.0779220779221
"u_{H,\max}",0.008965517241379312,2,False,S,70.0509435356206
"u_{H,\max}",0.008965517241379312,3,True,S,20.6042728430420
"u_{H,\max}",0.009310344827586208,0,False,S,0.0
"u_{H,\max}",0.009310344827586208,1,True,S,42.0779220779221
"u_{H,\max}",0.009310344827586208,2,False,S,70.0509435356206
"u_{H,\max}",0.009310344827586208,3,True,S,20.6042728430420
"u_{H,\max}",0.009655172413793104,0,False,S,0.0
"u_{H,\max}",0.009655172413793104,1,True,S,42.0779220779221
"u_{H,\max}",0.009655172413793104,2,False,S,70.0509435356206
"u_{H,\max}",0.009655172413793104,3,True,S,20.6042728430420
"u_{H,\max}",0.01,0,False,S,0.0
"u_{H,\max}",0.01,1,True,S,42.0779220779221
"u_{H,\max}",0.01,2,False,S,70.0509435356206
"u_{H,\max}",0.01,3,True,S,20.6042728430420
K_S,0.0001,0,False,S,0.0
K_S,0.0001,1,True,S,42.0779220779221
K_S,0.00423448275862069,0,False,S,0.0
K_S,0.00423448275862069,1,True,S,42.0779220779221
K_S,0.008368965517241379,0,False,S,0.0
K_S,0.008368965517241379,1,True,S,42.0779220779221
K_S,0.01250344827586207,0,False,S,0.0
K_S,0.01250344827586207,1,True,S,42.0779220779221
K_S,0.01250344827586207,2,False,S,56.8388180323808
K_S,0.01250344827586207,3,True,S,27.1391837983668
K_S,0.01663793103448276,0,False,S,0.0
K_S,0.01663793103448276,1,True,S,42.0779220779221
K_S,0.01663793103448276,2,False,S,64.8078427661828
K_S,0.01663793103448276,3,True,S,23.0056866452966
K_S,0.020772413793103447,0,False,S,0.0
K_S,0.020772413793103447,1,True,S,42.0779220779221
K_S,0.020772413793103447,2,False,S,71.1493787586605
K_S,0.020772413793103447,3,True,S,20.1235636822281
K_S,0.02490689655172414,0,False,S,0.0
K_S,0.02490689655172414,1,True,S,42.0779220779221
K_S,0.02490689655172414,2,False,S,76.4947510755783
K_S,0.02490689655172414,3,True,S,17.8614898433970
K_S,0.02904137931034483,0,False,S,0.0
K_S,0.02904137931034483,1,True,S,42.0779220779221
K_S,0.02904137931034483,2,False,S,81.0830664225012
K_S,0.02904137931034483,3,True,S,15.9803584232380
K_S,0.03317586206896552,0,False,S,0.0
K_S,0.03317586206896552,1,True,S,42.0779220779221
K_S,0.03317586206896552,2,False,S,85.0332229389754
K_S,0.03317586206896552,3,True,S,14.3612712822052
K_S,0.03731034482758621,0,False,S,0.0
K_S,0.03731034482758621,1,True,S,42.0779220779221
K_S,0.03731034482758621,2,False,S,88.4134391569831
K_S,0.03731034482758621,3,True,S,12.9360098883162
K_S,0.0414448275862069,0,False,S,0.0
K_S,0.0414448275862069,1,True,S,42.0779220779221
K_S,0.0414448275862069,2,False,S,91.2665541785921
K_S,0.0414448275862069,3,True,S,11.6617351395032
K_S,0.04557931034482759,0,False,S,0.0
K_S,0.04557931034482759,1,True,S,42.0779220779221
K_S,0.04557931034482759,2,False,S,93.6212131132026
K_S,0.04557931034482759,3,True,S,10.5098019263662
